event_id,sport,league,home_team,away_team,start_time
football:aston villa:everton:20260118,football,Premier League,Aston Villa FC,Everton FC,2026-01-18 16:30:00
football:brighton:bournemouth:20260119,football,Premier League,Brighton & Hove Albion FC,AFC Bournemouth,2026-01-19 20:00:00
football:burnley:tottenham:20260124,football,Premier League,Burnley FC,Tottenham Hotspur FC,2026-01-24 15:00:00
football:fulham:brighton:20260124,football,Premier League,Fulham FC,Brighton & Hove Albion FC,2026-01-24 15:00:00
football:getafe:valencia:20260118,football,La Liga,Getafe CF,Valencia CF,2026-01-18 13:00:00
football:elche:sevilla:20260119,football,La Liga,Elche CF,Sevilla FC,2026-01-19 20:00:00
football:stuttgart:union berlin:20260118,football,Bundesliga,VfB Stuttgart,1. FC Union Berlin,2026-01-18 14:30:00
football:augsburg:freiburg:20260118,football,Bundesliga,FC Augsburg,SC Freiburg,2026-01-18 16:30:00
football:bayer leverkusen:bremen:20260124,football,Bundesliga,Bayer 04 Leverkusen,SV Werder Bremen,2026-01-24 14:30:00
football:frankfurt:hoffenheim:20260124,football,Bundesliga,Eintracht Frankfurt,TSG 1899 Hoffenheim,2026-01-24 14:30:00
football:mainz:wolfsburg:20260124,football,Bundesliga,1. FSV Mainz 05,VfL Wolfsburg,2026-01-24 14:30:00
football:heidenheim:rb leipzig:20260124,football,Bundesliga,1. FC Heidenheim 1846,RB Leipzig,2026-01-24 14:30:00
football:union berlin:borussia dortmund:20260124,football,Bundesliga,1. FC Union Berlin,BV Borussia 09 Dortmund,2026-01-24 17:30:00
football:nantes:paris:20260118,football,Ligue 1,FC Nantes,Paris FC,2026-01-18 16:15:00
football:le havre:monaco:20260124,football,Ligue 1,Le Havre AC,AS Monaco FC,2026-01-24 18:00:00
football:parma:genoa:20260118,football,Serie A,Parma Calcio 1913,Genoa CFC,2026-01-18 11:30:00
football:bologna:fiorentina:20260118,football,Serie A,Bologna FC 1909,ACF Fiorentina,2026-01-18 14:00:00
football:torino:roma:20260118,football,Serie A,Torino FC,AS Roma,2026-01-18 17:00:00
football:ac milan:lecce:20260118,football,Serie A,AC Milan,US Lecce,2026-01-18 19:45:00
football:cremonese:verona:20260119,football,Serie A,US Cremonese,Hellas Verona FC,2026-01-19 17:30:00
football:lazio:como:20260119,football,Serie A,SS Lazio,Como 1907,2026-01-19 19:45:00
football:bodøglimt:manchester city:20260120,football,Champions League,FK Bodø/Glimt,Manchester City FC,2026-01-20 17:45:00
football:villarreal:ajax:20260120,football,Champions League,Villarreal CF,AFC Ajax,2026-01-20 20:00:00
football:real madrid:monaco:20260120,football,Champions League,Real Madrid CF,AS Monaco FC,2026-01-20 20:00:00
football:inter milan:arsenal:20260120,football,Champions League,FC Internazionale Milano,Arsenal FC,2026-01-20 20:00:00
football:tottenham:borussia dortmund:20260120,football,Champions League,Tottenham Hotspur FC,BV Borussia 09 Dortmund,2026-01-20 20:00:00
football:newcastle:psv:20260121,football,Champions League,Newcastle United FC,PSV,2026-01-21 20:00:00
football:bologna:celtic:20260122,football,Europa League,Bologna FC 1909,Celtic FC,2026-01-22 17:45:00
football:brann:midtjylland:20260122,football,Europa League,SK Brann,FC Midtjylland,2026-01-22 17:45:00
football:malmö:crvena zvezda:20260122,football,Europa League,Malmö FF,FK Crvena zvezda,2026-01-22 17:45:00
football:volendam:utrecht:20260118,football,Eredivisie,FC Volendam,FC Utrecht,2026-01-18 13:30:00
football:ajax:volendam:20260124,football,Eredivisie,AFC Ajax,FC Volendam,2026-01-24 15:30:00
football:kasımpaşa:antalyaspor:20260118,football,Turkish Super Lig,Kasımpaşa SK,Antalyaspor,2026-01-18 11:30:00
football:kocaelispor:trabzonspor:20260118,football,Turkish Super Lig,Kocaelispor,Trabzonspor,2026-01-18 14:00:00
football:gençlerbirliği:samsunspor:20260118,football,Turkish Super Lig,Gençlerbirliği SK,Samsunspor,2026-01-18 14:00:00
football:konyaspor:eyüpspor:20260119,football,Turkish Super Lig,Konyaspor,Eyüpspor,2026-01-19 14:00:00
football:göztepe:çaykur rizespor:20260119,football,Turkish Super Lig,Göztepe SK,Çaykur Rizespor,2026-01-19 17:00:00
football:trabzonspor:kasımpaşa:20260123,football,Turkish Super Lig,Trabzonspor,Kasımpaşa SK,2026-01-23 17:00:00
football:samsunspor:kocaelispor:20260124,football,Turkish Super Lig,Samsunspor,Kocaelispor,2026-01-24 14:00:00
football:fatih karagümrük:galatasaray:20260124,football,Turkish Super Lig,Fatih Karagümrük SK,Galatasaray SK,2026-01-24 17:00:00
football:silkeborg:viborg:20260208,football,Danish Superliga,Silkeborg IF,Viborg FF,2026-02-08 13:00:00
football:brøndby:randers:20260208,football,Danish Superliga,Brøndby IF,Randers FC,2026-02-08 17:00:00
football:auckland:central coast mariners:20260124,football,A-League,Auckland FC,Central Coast Mariners FC,2026-01-24 04:00:00
football:brisbane roar:adelaide united:20260124,football,A-League,Brisbane Roar FC,Adelaide United FC,2026-01-24 06:00:00
football:macarthur:melbourne city:20260124,football,A-League,Macarthur FC,Melbourne City FC,2026-01-24 08:35:00
football:western sydney wanderers:perth glory:20260125,football,A-League,Western Sydney Wanderers FC,Perth Glory FC,2026-01-25 06:00:00
basketball:melbourne united:brisbane bullets:20260121,basketball,NBL Australia,Melbourne United,Brisbane Bullets,2026-01-21 06:30:00
basketball:liaoning flying leopards:shenzhen leopards:20260118,basketball,Chinese CBA,Liaoning Flying Leopards,Shenzhen Leopards,2026-01-18 11:35:00
